Dijkstra,adjmatrix,7975->5970,30,1337,0.183129,29,8.508
A* (A star),adjmatrix,7975->5970,26,26,0.00443253,25,12.358
Iterative BFS,adjlist,1214->2811,20,642,0.00570061,19,0
Recursive BFS,adjlist,1214->2811,20,642,0.00563456,19,0
Iterative DFS,adjlist,1214->2811,248,9647,1.73496,247,0
Recursive DFS,adjlist,1214->2811,248,9647,1.76393,247,0
Dijkstra,adjlist,1214->2811,20,863,0.0130249,19,8.002
A* (A star),adjlist,1214->2811,20,20,0.00133354,19,8.88
Iterative BFS,adjmatrix,1214->2811,20,654,0.075972,19,0
Recursive BFS,adjmatrix,1214->2811,20,654,0.0746643,19,0
Iterative DFS,adjmatrix,1214->2811,4068,5937,2.16434,4067,0
Recursive DFS,adjmatrix,1214->2811,4068,5937,2.18458,4067,0
Dijkstra,adjmatrix,1214->2811,20,863,0.109821,19,8.002
A* (A star),adjmatrix,1214->2811,20,20,0.00376538,19,8.88
Iterative BFS,adjlist,9379->2664,83,5549,0.325125,82,0
Recursive BFS,adjlist,9379->2664,83,5549,0.350325,82,0
Iterative DFS,adjlist,9379->2664,879,9037,1.74245,878,0
Recursive DFS,adjlist,9379->2664,879,9037,1.70043,878,0
Dijkstra,adjlist,9379->2664,95,5443,0.366808,94,25.024
A* (A star),adjlist,9379->2664,83,83,0.00293828,82,38.747
Iterative BFS,adjmatrix,9379->2664,83,5512,0.995204,82,0
Recursive BFS,adjmatrix,9379->2664,83,5512,0.913154,82,0
Iterative DFS,adjmatrix,9379->2664,3663,6570,2.70267,3662,0
Recursive DFS,adjmatrix,9379->2664,3663,6570,2.70072,3662,0
Dijkstra,adjmatrix,9379->2664,95,5443,1.11764,94,25.024
A* (A star),adjmatrix,9379->2664,83,83,0.0116863,82,38.747
Iterative BFS,adjlist,4671->6852,42,3204,0.108027,41,0
Recursive BFS,adjlist,4671->6852,42,3204,0.118262,41,0
Iterative DFS,adjlist,4671->6852,992,8881,1.37606,991,0
Recursive DFS,adjlist,4671->6852,992,8881,1.39932,991,0
Dijkstra,adjlist,4671->6852,42,3256,0.161716,41,12.804
A* (A star),adjlist,4671->6852,42,42,0.00214431,41,16.408
Iterative BFS,adjmatrix,4671->6852,42,3253,0.52002,41,0
Recursive BFS,adjmatrix,4671->6852,42,3253,0.531231,41,0
Iterative DFS,adjmatrix,4671->6852,2000,8036,3.41405,1999,0
Recursive DFS,adjmatrix,4671->6852,2000,8036,3.24748,1999,0
Dijkstra,adjmatrix,4671->6852,42,3256,0.557175,41,12.804
A* (A star),adjmatrix,4671->6852,42,42,0.00697595,41,16.408
Iterative BFS,adjlist,1792->4563,58,3071,0.0731333,57,0
Recursive BFS,adjlist,1792->4563,58,3071,0.0765461,57,0
Iterative DFS,adjlist,1792->4563,1482,8372,1.96459,1481,0
Recursive DFS,adjlist,1792->4563,1482,8372,2.02379,1481,0
Dijkstra,adjlist,1792->4563,58,2139,0.0567055,57,13.674
A* (A star),adjlist,1792->4563,58,58,0.00189565,57,19.69
Iterative BFS,adjmatrix,1792->4563,58,3071,0.537345,57,0
Recursive BFS,adjmatrix,1792->4563,58,3071,0.493059,57,0
Iterative DFS,adjmatrix,1792->4563,2976,2976,0.766835,2975,0
Recursive DFS,adjmatrix,1792->4563,2976,2976,0.762257,2975,0
Dijkstra,adjmatrix,1792->4563,58,2139,0.345409,57,13.674
A* (A star),adjmatrix,1792->4563,58,58,0.00812812,57,19.69
Iterative BFS,adjlist,1337->7826,77,6243,0.566101,76,0
Recursive BFS,adjlist,1337->7826,77,6243,0.597068,76,0
Iterative DFS,adjlist,1337->7826,545,9287,1.32693,544,0
Recursive DFS,adjlist,1337->7826,545,9287,1.33794,544,0
Dijkstra,adjlist,1337->7826,97,7240,1.07438,96,26.171
A* (A star),adjlist,1337->7826,77,77,0.00384078,76,34.897
Iterative BFS,adjmatrix,1337->7826,77,6244,1.59869,76,0
Recursive BFS,adjmatrix,1337->7826,77,6244,1.50807,76,0
Iterative DFS,adjmatrix,1337->7826,3303,6723,2.92937,3302,0
Recursive DFS,adjmatrix,1337->7826,3303,6723,2.86732,3302,0
Dijkstra,adjmatrix,1337->7826,97,7240,2.07898,96,26.171
A* (A star),adjmatrix,1337->7826,77,77,0.0121589,76,34.897
Iterative BFS,adjlist,6661->6886,28,1462,0.0215936,27,0
Recursive BFS,adjlist,6661->6886,28,1462,0.0229534,27,0
Iterative DFS,adjlist,6661->6886,1212,2748,0.277042,1211,0
Recursive DFS,adjlist,6661->6886,1212,2748,0.285571,1211,0
Dijkstra,adjlist,6661->6886,38,1636,0.0399524,37,9.263
A* (A star),adjlist,6661->6886,28,28,0.00161674,27,13.578
Iterative BFS,adjmatrix,6661->6886,28,1488,0.227833,27,0
Recursive BFS,adjmatrix,6661->6886,28,1488,0.205134,27,0
Iterative DFS,adjmatrix,6661->6886,636,9363,3.55243,635,0
Recursive DFS,adjmatrix,6661->6886,636,9363,3.58477,635,0
Dijkstra,adjmatrix,6661->6886,38,1636,0.258271,37,9.263
A* (A star),adjmatrix,6661->6886,28,28,0.00506201,27,13.578
Iterative BFS,adjlist,1204->656,59,2549,0.0572138,58,0
Recursive BFS,adjlist,1204->656,59,2549,0.057711,58,0
Iterative DFS,adjlist,1204->656,2633,2633,0.336306,2632,0
Recursive DFS,adjlist,1204->656,2633,2633,0.338774,2632,0
Dijkstra,adjlist,1204->656,69,2801,0.110544,68,19.818
A* (A star),adjlist,1204->656,59,59,0.00212156,58,31.552
Iterative BFS,adjmatrix,1204->656,59,2540,0.38724,58,0
Recursive BFS,adjmatrix,1204->656,59,2540,0.397196,58,0
Iterative DFS,adjmatrix,1204->656,4571,5439,2.07328,4570,0
Recursive DFS,adjmatrix,1204->656,4571,5439,2.10252,4570,0
Dijkstra,adjmatrix,1204->656,69,2801,0.476962,68,19.818
A* (A star),adjmatrix,1204->656,59,59,0.00867497,58,31.552
Iterative BFS,adjlist,1606->6853,100,6822,0.48983,99,0
Recursive BFS,adjlist,1606->6853,100,6822,0.521506,99,0
Iterative DFS,adjlist,1606->6853,2310,7072,1.89265,2309,0
Recursive DFS,adjlist,1606->6853,2310,7072,1.96384,2309,0
Dijkstra,adjlist,1606->6853,102,5338,0.490179,101,25.759
A* (A star),adjlist,1606->6853,100,100,0.00325842,99,44.34
Iterative BFS,adjmatrix,1606->6853,100,6822,1.60937,99,0
Recursive BFS,adjmatrix,1606->6853,100,6822,1.61496,99,0
Iterative DFS,adjmatrix,1606->6853,1544,8405,3.28938,1543,0
Recursive DFS,adjmatrix,1606->6853,1544,8405,3.34787,1543,0
Dijkstra,adjmatrix,1606->6853,102,5338,1.24488,101,25.759
A* (A star),adjmatrix,1606->6853,100,100,0.0148759,99,44.34
Iterative BFS,adjlist,7732->7122,17,494,0.00466919,16,0
Recursive BFS,adjlist,7732->7122,17,494,0.00412532,16,0
Iterative DFS,adjlist,7732->7122,615,7137,1.09886,614,0
Recursive DFS,adjlist,7732->7122,615,7137,1.14033,614,0
Dijkstra,adjlist,7732->7122,17,235,0.00403258,16,4.492
A* (A star),adjlist,7732->7122,17,17,0.00124301,16,6.16
Iterative BFS,adjmatrix,7732->7122,17,501,0.0630137,16,0
Recursive BFS,adjmatrix,7732->7122,17,501,0.0627983,16,0
Iterative DFS,adjmatrix,7732->7122,1595,1595,0.284942,1594,0
Recursive DFS,adjmatrix,7732->7122,1595,1595,0.289223,1594,0
Dijkstra,adjmatrix,7732->7122,17,235,0.029297,16,4.492
A* (A star),adjmatrix,7732->7122,17,17,0.0031388,16,6.16
Iterative BFS,adjlist,1095->602,98,6140,0.373506,97,0
Recursive BFS,adjlist,1095->602,98,6140,0.39634,97,0
Iterative DFS,adjlist,1095->602,4668,5243,1.3438,4667,0
Recursive DFS,adjlist,1095->602,4668,5243,1.30715,4667,0
Dijkstra,adjlist,1095->602,118,6970,0.783912,117,31.753
A* (A star),adjlist,1095->602,98,98,0.00364565,97,42.648
Iterative BFS,adjmatrix,1095->602,98,6143,1.44071,97,0
Recursive BFS,adjmatrix,1095->602,98,6143,1.32935,97,0
Iterative DFS,adjmatrix,1095->602,4766,5340,2.19158,4765,0
Recursive DFS,adjmatrix,1095->602,4766,5340,2.14049,4765,0
